1,1014,0.9702989999999999,-20.0,0,-20.0
2,816,0.96059601,-21.0,0,-20.5
3,1048,0.9414801494009999,-21.0,0,-20.666666666666668
4,1120,0.9135172474836407,-19.0,0,-20.25
5,845,0.9043820750088043,-21.0,0,-20.4
6,836,0.8863848717161291,-20.0,0,-20.333333333333332
7,815,0.8687458127689781,-21.0,0,-20.428571428571427
8,1206,0.8514577710948754,-19.0,0,-20.25
9,816,0.8345137614500874,-21.0,0,-20.333333333333332
10,1198,0.8179069375972307,-19.0,0,-20.2
83,2362,0.07330786904388827,-11.0,tensor(14.3631, device='cuda:0', grad_fn=<AddBackward0>),-16.97590361445783
84,1408,0.07113055202541574,-18.0,tensor(10.0999, device='cuda:0', grad_fn=<AddBackward0>),-16.988095238095237
85,1966,0.06832772446471178,-16.0,tensor(12.6375, device='cuda:0', grad_fn=<AddBackward0>),-16.976470588235294
86,1608,0.06629832272038537,-18.0,tensor(11.1534, device='cuda:0', grad_fn=<AddBackward0>),-16.988372093023255
87,2914,0.06241855477982412,-1.0,tensor(16.7920, device='cuda:0', grad_fn=<AddBackward0>),-16.804597701149426
88,2176,0.05995901467146548,-9.0,tensor(14.5854, device='cuda:0', grad_fn=<AddBackward0>),-16.71590909090909
89,2860,0.05645022209082806,-8.0,tensor(17.1978, device='cuda:0', grad_fn=<AddBackward0>),-16.617977528089888
90,1571,0.05477359404450838,-15.0,tensor(11.6785, device='cuda:0', grad_fn=<AddBackward0>),-16.6
91,2096,0.052615295892514506,-15.0,tensor(14.2916, device='cuda:0', grad_fn=<AddBackward0>),-16.582417582417584
92,3278,0.04953625663766238,-1.0,tensor(19.6936, device='cuda:0', grad_fn=<AddBackward0>),-16.41304347826087
93,1830,0.04953625663766238,-19.0,tensor(13.1784, device='cuda:0', grad_fn=<AddBackward0>),-16.440860215053764
94,2327,0.04953625663766238,-10.0,tensor(15.8108, device='cuda:0', grad_fn=<AddBackward0>),-16.372340425531913
95,3054,0.04953625663766238,-3.0,tensor(18.8216, device='cuda:0', grad_fn=<AddBackward0>),-16.231578947368423
96,2333,0.04953625663766238,-9.0,tensor(16.6523, device='cuda:0', grad_fn=<AddBackward0>),-16.15625
97,2636,0.04953625663766238,-7.0,tensor(17.5325, device='cuda:0', grad_fn=<AddBackward0>),-16.061855670103093
98,2585,0.04953625663766238,-9.0,tensor(17.6994, device='cuda:0', grad_fn=<AddBackward0>),-15.989795918367347
99,2532,0.04953625663766238,-8.0,tensor(18.2841, device='cuda:0', grad_fn=<AddBackward0>),-15.909090909090908
100,2786,0.04953625663766238,-7.0,tensor(18.6719, device='cuda:0', grad_fn=<AddBackward0>),-15.82
101,1461,0.04953625663766238,-19.0,tensor(12.1996, device='cuda:0', grad_fn=<AddBackward0>),-15.81
102,2377,0.04953625663766238,-9.0,tensor(17.6182, device='cuda:0', grad_fn=<AddBackward0>),-15.69
103,2701,0.04953625663766238,-6.0,tensor(18.2225, device='cuda:0', grad_fn=<AddBackward0>),-15.54
104,1727,0.04953625663766238,-16.0,tensor(13.1460, device='cuda:0', grad_fn=<AddBackward0>),-15.51
105,3080,0.04953625663766238,-3.0,tensor(19.9707, device='cuda:0', grad_fn=<AddBackward0>),-15.33
106,2048,0.04953625663766238,-10.0,tensor(15.5648, device='cuda:0', grad_fn=<AddBackward0>),-15.23
107,2983,0.04953625663766238,-3.0,tensor(19.4150, device='cuda:0', grad_fn=<AddBackward0>),-15.05
108,2211,0.04953625663766238,-9.0,tensor(15.3069, device='cuda:0', grad_fn=<AddBackward0>),-14.95
109,2126,0.04953625663766238,-13.0,tensor(14.2073, device='cuda:0', grad_fn=<AddBackward0>),-14.87
